Date, Instance, Algorithm, RandSeed, Duration, IterCount, GenerationCount, Optima, Solution
2014-11-09 Sun 11:55:00, DSJC125.1.col, HEA(PS=8|GC=10000|IC=100000|TB=0|MN=2), 1415505300, 0.015, 0, 0, 0, (5)0 4 4 0 4 1 2 4 3 0 1 4 3 4 2 3 0 2 2 1 0 3 0 3 1 4 2 4 4 1 4 3 4 2 1 4 4 3 0 2 0 0 2 1 0 2 3 4 0 1 3 1 3 0 4 0 3 3 1 2 2 1 2 2 1 0 2 4 3 0 4 3 0 2 3 0 0 4 1 3 3 0 2 1 0 1 2 2 4 4 0 3 3 2 4 4 2 1 1 2 4 2 0 4 1 4 4 4 4 3 0 2 1 4 1 0 2 2 1 4 0 2 4 0 4 
2014-11-09 Sun 11:55:00, DSJC125.1.col, HEA(PS=8|GC=10000|IC=100000|TB=0|MN=2), 1415505300, 0.013, 0, 0, 0, (5)0 4 4 0 4 1 2 4 3 0 1 4 3 4 2 3 0 2 2 1 0 3 0 3 1 4 2 4 4 1 4 3 4 2 1 4 4 3 0 2 0 0 2 1 0 2 3 4 0 1 3 1 3 0 4 0 3 3 1 2 2 1 2 2 1 0 2 4 3 0 4 3 0 2 3 0 0 4 1 3 3 0 2 1 0 1 2 2 4 4 0 3 3 2 4 4 2 1 1 2 4 2 0 4 1 4 4 4 4 3 0 2 1 4 1 0 2 2 1 4 0 2 4 0 4 
2014-11-09 Sun 11:55:00, DSJC125.1.col, HEA(PS=8|GC=10000|IC=100000|TB=0|MN=2), 1415505300, 0.014, 0, 0, 0, (5)0 4 4 0 4 1 2 4 3 0 1 4 3 4 2 3 0 2 2 1 0 3 0 3 1 4 2 4 4 1 4 3 4 2 1 4 4 3 0 2 0 0 2 1 0 2 3 4 0 1 3 1 3 0 4 0 3 3 1 2 2 1 2 2 1 0 2 4 3 0 4 3 0 2 3 0 0 4 1 3 3 0 2 1 0 1 2 2 4 4 0 3 3 2 4 4 2 1 1 2 4 2 0 4 1 4 4 4 4 3 0 2 1 4 1 0 2 2 1 4 0 2 4 0 4 
2014-11-09 Sun 11:55:00, DSJC125.1.col, HEA(PS=8|GC=10000|IC=100000|TB=0|MN=2), 1415505300, 0.015, 0, 0, 0, (5)0 4 4 0 4 1 2 4 3 0 1 4 3 4 2 3 0 2 2 1 0 3 0 3 1 4 2 4 4 1 4 3 4 2 1 4 4 3 0 2 0 0 2 1 0 2 3 4 0 1 3 1 3 0 4 0 3 3 1 2 2 1 2 2 1 0 2 4 3 0 4 3 0 2 3 0 0 4 1 3 3 0 2 1 0 1 2 2 4 4 0 3 3 2 4 4 2 1 1 2 4 2 0 4 1 4 4 4 4 3 0 2 1 4 1 0 2 2 1 4 0 2 4 0 4 
2014-11-09 Sun 11:55:00, DSJC125.1.col, HEA(PS=8|GC=10000|IC=100000|TB=0|MN=2), 1415505300, 0.014, 0, 0, 0, (5)0 4 4 0 4 1 2 4 3 0 1 4 3 4 2 3 0 2 2 1 0 3 0 3 1 4 2 4 4 1 4 3 4 2 1 4 4 3 0 2 0 0 2 1 0 2 3 4 0 1 3 1 3 0 4 0 3 3 1 2 2 1 2 2 1 0 2 4 3 0 4 3 0 2 3 0 0 4 1 3 3 0 2 1 0 1 2 2 4 4 0 3 3 2 4 4 2 1 1 2 4 2 0 4 1 4 4 4 4 3 0 2 1 4 1 0 2 2 1 4 0 2 4 0 4 
2014-11-09 Sun 11:55:00, DSJC125.1.col, HEA(PS=8|GC=10000|IC=100000|TB=0|MN=2), 1415505300, 0.014, 0, 0, 0, (5)0 4 4 0 4 1 2 4 3 0 1 4 3 4 2 3 0 2 2 1 0 3 0 3 1 4 2 4 4 1 4 3 4 2 1 4 4 3 0 2 0 0 2 1 0 2 3 4 0 1 3 1 3 0 4 0 3 3 1 2 2 1 2 2 1 0 2 4 3 0 4 3 0 2 3 0 0 4 1 3 3 0 2 1 0 1 2 2 4 4 0 3 3 2 4 4 2 1 1 2 4 2 0 4 1 4 4 4 4 3 0 2 1 4 1 0 2 2 1 4 0 2 4 0 4 
2014-11-09 Sun 11:55:00, DSJC125.1.col, HEA(PS=8|GC=10000|IC=100000|TB=0|MN=2), 1415505300, 0.015, 0, 0, 0, (5)0 4 4 0 4 1 2 4 3 0 1 4 3 4 2 3 0 2 2 1 0 3 0 3 1 4 2 4 4 1 4 3 4 2 1 4 4 3 0 2 0 0 2 1 0 2 3 4 0 1 3 1 3 0 4 0 3 3 1 2 2 1 2 2 1 0 2 4 3 0 4 3 0 2 3 0 0 4 1 3 3 0 2 1 0 1 2 2 4 4 0 3 3 2 4 4 2 1 1 2 4 2 0 4 1 4 4 4 4 3 0 2 1 4 1 0 2 2 1 4 0 2 4 0 4 
2014-11-09 Sun 11:55:00, DSJC125.1.col, HEA(PS=8|GC=10000|IC=100000|TB=0|MN=2), 1415505300, 0.014, 0, 0, 0, (5)0 4 4 0 4 1 2 4 3 0 1 4 3 4 2 3 0 2 2 1 0 3 0 3 1 4 2 4 4 1 4 3 4 2 1 4 4 3 0 2 0 0 2 1 0 2 3 4 0 1 3 1 3 0 4 0 3 3 1 2 2 1 2 2 1 0 2 4 3 0 4 3 0 2 3 0 0 4 1 3 3 0 2 1 0 1 2 2 4 4 0 3 3 2 4 4 2 1 1 2 4 2 0 4 1 4 4 4 4 3 0 2 1 4 1 0 2 2 1 4 0 2 4 0 4 
2014-11-09 Sun 11:55:00, DSJC250.1.col, HEA(PS=8|GC=10000|IC=100000|TB=0|MN=2), 1415505300, 0.062, 0, 0, 0, (8)3 4 5 3 0 1 2 4 1 5 0 0 6 2 3 6 2 0 6 4 6 3 7 2 1 1 3 2 2 5 5 1 7 2 4 1 4 1 3 0 6 4 0 6 1 7 1 6 7 2 6 3 0 0 6 7 5 4 4 0 1 3 2 2 6 6 5 0 4 1 5 3 1 5 1 7 0 1 6 6 0 7 7 4 4 3 6 7 1 5 4 6 4 7 4 5 2 0 7 4 0 2 4 3 0 0 5 0 0 7 7 7 4 6 1 6 2 2 0 0 5 0 4 5 5 1 6 3 5 2 7 2 7 1 2 6 7 7 6 5 7 6 0 4 4 7 3 3 3 7 6 1 0 5 0 5 4 3 7 4 6 6 6 7 3 1 6 6 3 1 1 2 3 2 0 3 0 3 2 5 2 1 6 0 4 2 2 3 1 0 4 4 4 2 5 6 1 2 7 1 3 5 2 3 1 3 2 2 1 1 3 4 0 6 3 4 0 5 7 7 0 5 3 1 5 7 3 5 3 3 0 6 5 4 4 5 6 5 1 3 2 1 2 7 6 0 4 2 7 0 
2014-11-09 Sun 11:55:00, DSJC250.1.col, HEA(PS=8|GC=10000|IC=100000|TB=0|MN=2), 1415505300, 0.071, 0, 0, 0, (8)3 4 5 3 0 1 2 4 1 5 0 0 6 2 3 6 2 0 6 4 6 3 7 2 1 1 3 2 2 5 5 1 7 2 4 1 4 1 3 0 6 4 0 6 1 7 1 6 7 2 6 3 0 0 6 7 5 4 4 0 1 3 2 2 6 6 5 0 4 1 5 3 1 5 1 7 0 1 6 6 0 7 7 4 4 3 6 7 1 5 4 6 4 7 4 5 2 0 7 4 0 2 4 3 0 0 5 0 0 7 7 7 4 6 1 6 2 2 0 0 5 0 4 5 5 1 6 3 5 2 7 2 7 1 2 6 7 7 6 5 7 6 0 4 4 7 3 3 3 7 6 1 0 5 0 5 4 3 7 4 6 6 6 7 3 1 6 6 3 1 1 2 3 2 0 3 0 3 2 5 2 1 6 0 4 2 2 3 1 0 4 4 4 2 5 6 1 2 7 1 3 5 2 3 1 3 2 2 1 1 3 4 0 6 3 4 0 5 7 7 0 5 3 1 5 7 3 5 3 3 0 6 5 4 4 5 6 5 1 3 2 1 2 7 6 0 4 2 7 0 
