Date, Instance, Algorithm, RandSeed, Duration, IterCount, GenerationCount, Optima, Solution
[LogicError]2014-10-31 Fri 10:07:17, DSJC125.1.col, HEA(PS=8), 1414721237, 0.188, 0, 0, 87, 2 3 3 4 6 2 2 1 5 4 5 6 4 4 2 1 3 6 7 3 6 7 1 0 6 7 7 2 5 5 6 1 2 1 6 6 1 0 5 0 7 3 3 7 5 1 6 6 2 7 7 6 6 5 4 1 4 3 7 4 0 3 7 1 2 0 5 4 1 0 2 4 3 6 7 4 3 3 5 3 5 6 7 1 7 1 4 3 0 6 1 0 5 2 7 4 1 1 0 5 5 2 0 5 0 4 2 0 1 1 0 7 3 2 7 3 0 4 2 5 1 1 5 6 5 
2014-10-31 Fri 10:59:18, DSJC125.1.col, HEA(PS=8), 1414724342, 12.28, 0, 0, 134, 2 4 2 0 1 1 3 0 1 3 3 1 4 0 2 2 3 2 4 4 2 1 3 0 4 1 1 2 1 1 0 3 3 0 4 4 0 0 4 0 3 0 0 2 4 3 0 0 4 0 2 0 4 2 1 2 2 2 2 1 1 3 0 2 4 4 0 0 4 1 2 3 2 3 0 0 3 1 1 1 4 3 0 4 1 2 0 2 3 4 3 3 2 4 2 0 2 2 3 4 2 2 3 3 3 2 3 1 3 0 0 2 1 3 1 2 2 2 0 0 2 2 3 2 4 
2014-10-31 Fri 11:00:01, DSJC125.1.col, HEA(PS=8), 1414724401, 0.126, 0, 0, 129, 3 3 2 2 0 0 3 0 4 1 2 0 1 1 4 1 1 4 2 4 4 0 4 1 0 3 4 0 2 4 4 3 3 1 3 4 1 4 4 1 0 3 1 4 4 3 0 2 0 0 2 1 2 3 3 2 4 2 1 0 1 2 3 4 2 4 3 1 3 2 4 0 3 1 4 2 0 3 0 2 2 3 0 2 1 0 3 0 3 3 1 3 4 4 1 4 1 0 0 2 3 1 4 0 3 1 4 3 1 2 3 4 3 3 2 1 3 1 3 4 4 0 4 2 4 
2014-10-31 Fri 11:16:17, DSJC125.1.col, HEA(PS=8), 1414725377, 0, 0, 0, 131, 1 4 4 4 3 1 2 3 4 1 3 2 4 4 2 0 1 3 0 4 4 2 4 1 0 1 1 0 3 2 3 4 2 2 1 2 3 4 3 0 3 3 1 1 2 0 0 4 0 3 3 1 1 1 4 2 2 3 4 4 1 1 2 4 2 4 0 2 4 4 3 0 3 0 2 2 2 3 2 3 2 4 2 2 1 2 2 0 3 0 4 3 1 0 4 0 2 0 1 1 3 4 0 2 4 4 0 4 1 0 2 0 1 1 2 1 4 1 3 2 2 1 1 3 1 
2014-10-31 Fri 11:29:10, DSJC125.1.col, HEA(PS=8), 1414726150, 0, 0, 0, 131, 4 0 0 4 0 1 3 1 1 1 3 4 0 3 2 1 0 1 3 1 0 2 0 4 2 0 4 4 1 1 0 0 4 0 3 3 1 0 1 1 1 3 3 1 0 3 1 1 0 0 1 4 0 0 4 2 0 0 0 1 2 1 4 3 0 3 4 3 1 3 3 4 4 2 2 1 0 0 0 0 2 4 2 3 3 0 2 1 2 1 4 3 2 0 1 3 3 1 3 2 1 0 1 3 1 3 4 4 2 2 4 1 1 3 1 3 0 2 1 1 4 0 2 3 4 
2014-11-06 Thu 11:09:08, DSJC125.1.col, HEA(PS=1|GC=1000|IC=10000|TB=0), 1415243341, 6.715, 0, 0, 1, 2 1 4 4 3 3 2 1 0 4 3 1 4 1 3 3 4 0 0 2 0 0 2 3 0 1 4 2 0 0 0 4 2 2 0 1 2 2 4 0 1 4 3 4 2 3 4 2 4 1 3 3 1 4 2 1 4 0 1 2 2 0 1 1 4 4 1 2 2 1 4 2 4 3 2 2 4 1 0 0 1 4 3 2 3 3 0 0 4 2 4 2 0 3 1 1 3 1 0 4 1 0 0 1 2 2 1 2 0 0 4 2 3 2 3 0 2 2 3 1 4 0 4 3 1 
2014-11-06 Thu 11:09:22, DSJC125.1.col, HEA(PS=1|GC=1000|IC=10000|TB=0), 1415243355, 6.719, 0, 0, 1, 1 4 1 0 0 3 1 3 1 1 3 3 4 2 4 4 1 0 1 0 0 3 1 1 3 2 1 4 0 3 0 1 2 4 2 4 0 2 3 2 0 0 3 3 3 0 1 2 4 4 3 0 0 4 0 0 0 2 1 2 3 2 4 1 1 3 4 4 2 3 4 4 0 2 4 4 4 1 0 3 3 4 1 3 4 0 0 4 1 4 2 3 0 0 1 0 1 0 3 0 0 2 0 3 2 2 1 4 1 0 4 0 2 2 4 0 1 2 3 4 4 2 2 3 1 
2014-11-06 Thu 11:10:29, DSJC125.1.col, HEA(PS=1|GC=1000|IC=10000|TB=0), 1415243422, 6.999, 0, 0, 1, 4 4 1 3 1 1 2 2 2 4 0 4 0 4 0 3 3 1 4 0 3 2 3 1 0 3 0 0 0 4 2 2 0 0 2 3 4 4 2 2 4 3 4 1 4 1 2 2 3 0 1 1 3 4 1 3 1 4 0 0 0 0 3 2 0 3 3 0 4 3 4 1 3 1 4 0 3 2 0 3 3 0 3 4 1 1 2 2 3 4 4 4 1 1 2 1 2 1 1 3 1 2 1 4 0 4 0 0 3 1 4 0 2 2 0 2 2 2 3 3 4 2 0 4 4 
2014-11-06 Thu 11:12:27, DSJC125.1.col, HEA(PS=1|GC=1000|IC=10000|TB=0), 1415243516, 30.636, 0, 0, 0, 3 4 1 0 4 1 4 1 4 1 3 0 0 1 0 4 2 3 0 2 3 4 1 0 0 3 0 1 1 2 2 0 0 3 2 1 1 3 1 0 0 2 3 1 1 2 4 4 2 2 3 3 0 2 1 4 4 4 0 3 0 3 4 0 0 2 0 1 3 4 2 2 1 4 4 3 2 0 0 4 4 2 4 1 3 3 0 4 2 2 3 2 2 0 4 1 0 3 1 2 3 4 2 1 2 1 0 1 2 4 1 3 4 1 3 2 0 0 3 2 1 4 0 3 0 
2014-11-06 Thu 11:12:41, DSJC125.1.col, HEA(PS=1|GC=1000|IC=10000|TB=0), 1415243560, 1.221, 0, 0, 0, 3 1 1 3 1 2 4 0 1 4 0 2 3 2 3 1 4 4 4 3 2 2 2 1 2 4 3 2 0 0 2 3 2 1 0 2 1 0 3 2 3 3 3 0 0 0 1 2 2 0 1 3 1 1 4 3 1 1 0 2 0 2 4 2 3 0 3 4 1 0 4 1 3 1 1 4 3 4 0 0 1 3 2 0 4 0 3 2 4 3 3 4 1 2 1 4 2 0 0 3 4 1 4 0 4 4 4 4 3 1 4 2 0 3 0 2 2 2 0 4 4 2 0 0 3 
